Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
josh powell,2013-14,31.0,HOU,NBA,1,0.0,19.0,2.5,0.0,0.0,0.0,27.7,14.6,0.0,0.0,3.9,14.3,16.1,60.0,104.0,-0.1,0.0,0.0,-0.094,-13.4,-3.0,-16.4,-0.1,South Carolina,Black,2006,2014,F,6-9,225,"January 25, 1983",North Carolina State University,2013-2014,386,"Josh Powell, PF",Houston Rockets,13958
pablo prigioni,2013-14,36.0,NYK,NBA,66,27.0,1283.0,13.0,0.733,0.063,3.2,8.8,5.9,25.6,2.8,0.1,23.4,9.3,127.0,110.0,2.5,0.9,3.4,0.127,1.5,-0.9,0.6,0.8,Argentina,White,2013,2016,G,6-3,185,"May 17, 1977",,2013-2014,251,"Pablo Prigioni, PG",New York Knicks,1591350
tayshaun prince,2013-14,33.0,MEM,NBA,76,76.0,1948.0,8.2,0.14,0.122,1.9,12.3,7.1,8.9,1.1,0.8,7.3,13.3,97.0,108.0,-0.2,1.8,1.5,0.038,-3.1,0.6,-2.6,-0.3,California ,Black and White,2003,2016,F,6-9,212,"February 28, 1980",University of Kentucky,2013-2014,86,"Tayshaun Prince, SF",Memphis Grizzlies,7235955
miroslav raduljica,2013-14,26.0,MIL,NBA,48,2.0,465.0,15.3,0.0,0.437,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,117.0,113.0,1.0,0.1,1.1,0.112,-0.6,-1.8,-2.3,0.0,Serbia,White,2014,2015,C,7-0,250,"January 5, 1988",,2013-2014,257,"Miroslav Raduljica, C",Milwaukee Bucks,1500000
shavlik randolph,2013-14,30.0,PHO,NBA,14,0.0,95.0,7.7,0.0,0.786,8.3,21.2,14.8,1.4,1.6,0.8,21.0,11.0,99.0,106.0,0.0,0.1,0.1,0.06,-4.7,-0.6,-5.3,-0.1,North Carolina,White,2006,2015,F,6-10,240,"November 24, 1983",Duke University,2013-2014,362,"Shavlik Randolph, PF",Phoenix Suns,306037
zach randolph,2013-14,32.0,MEM,NBA,79,79.0,2705.0,18.3,0.017,0.281,11.6,23.3,17.4,12.7,1.1,0.7,12.0,26.1,105.0,105.0,2.9,3.5,6.4,0.113,0.1,0.4,0.4,1.7,Indiana ,Black,2002,2016,F,6-9,260,"July 16, 1981",Michigan State University,2013-2014,13,"Zach Randolph, PF",Memphis Grizzlies,18238333
glen rice,2013-14,23.0,WAS,NBA,11,1.0,109.0,6.6,0.459,0.189,4.2,17.3,10.6,9.3,2.8,0.8,18.3,20.3,78.0,102.0,-0.3,0.2,-0.1,-0.043,-5.9,0.0,-5.8,-0.1,Florida,Black,2014,2015,G,6-6,206,"January 1, 1991",Georgia Institute of Technology,2013-2014,348,"Glen Rice Jr., SG",Washington Wizards,490180
luke ridnour,2013-14,32.0,TOT,NBA,61,14.0,1141.0,9.0,0.33,0.08,2.2,7.6,4.8,24.3,1.5,0.6,16.3,16.1,95.0,112.0,-0.3,0.4,0.1,0.005,-2.7,-2.4,-5.1,-0.9,Idaho,White,2004,2015,G,6-2,175,"February 13, 1981",University of Oregon,2013-2014,134,"Luke Ridnour, PG",Charlotte Bobcats,4420000
austin rivers,2013-14,21.0,NOP,NBA,69,4.0,1339.0,11.6,0.209,0.365,2.2,9.1,5.6,18.7,1.8,0.6,12.3,21.3,99.0,113.0,0.2,0.4,0.6,0.023,-1.5,-2.5,-3.9,-0.7,California ,White,2013,2016,G,6-4,200,"August 1, 1992",Duke University,2013-2014,214,"Austin Rivers, PG",New Orleans Pelicans,2339040
andre roberson,2013-14,22.0,OKC,NBA,40,16.0,399.0,9.0,0.191,0.147,10.7,15.6,13.3,5.2,2.4,2.0,20.8,10.1,105.0,102.0,0.2,0.6,0.8,0.099,-2.2,1.9,-0.3,0.2,New Mexico,Black,2014,2016,G-F,6-7,210,"December 4, 1991",University of Colorado,2013-2014,330,"Andre Roberson, SG",Oklahoma City Thunder,740560
brian roberts,2013-14,28.0,NOP,NBA,72,42.0,1667.0,13.4,0.306,0.229,1.2,8.4,4.7,22.1,1.3,0.4,12.9,20.0,108.0,114.0,2.0,0.2,2.2,0.063,0.3,-3.2,-2.9,-0.4,Ohio ,Black,2013,2016,G,6-1,173,"December 3, 1985",University of Dayton,2013-2014,325,"Brian Roberts, PG",New Orleans Pelicans,788872
nate robinson,2013-14,29.0,DEN,NBA,44,1.0,866.0,15.6,0.402,0.222,2.6,7.5,5.0,21.3,2.0,0.3,12.1,23.5,109.0,110.0,1.3,0.5,1.8,0.101,1.9,-2.1,-0.2,0.4,Washington ,Black,2006,2016,G,5-9,180,"May 31, 1984",University of Washington,2013-2014,230,"Nate Robinson, PG",Denver Nuggets,2016000
thomas robinson,2013-14,22.0,POR,NBA,70,0.0,873.0,14.1,0.003,0.345,13.1,24.6,18.9,6.0,1.3,1.6,14.5,19.7,102.0,104.0,0.4,1.2,1.6,0.09,-3.1,-0.1,-3.2,-0.3,District of Columbia,Black,2013,2016,F,6-10,237,"March 17, 1991",University of Kansas,2013-2014,159,"Thomas Robinson, PF",Portland Trail Blazers,3526440
rajon rondo,2013-14,27.0,BOS,NBA,30,30.0,998.0,15.3,0.257,0.191,2.4,16.6,9.3,47.7,2.1,0.2,20.7,21.3,99.0,107.0,0.2,1.0,1.1,0.054,0.2,-0.2,0.0,0.5,Kentucky ,Black,2007,2016,G,6-1,186,"February 22, 1986",University of Kentucky,2013-2014,42,"Rajon Rondo, PG",Boston Celtics,11954545
derrick rose,2013-14,25.0,CHI,NBA,10,10.0,311.0,9.7,0.287,0.195,3.3,8.3,5.9,26.2,0.9,0.2,16.0,31.5,88.0,105.0,-0.6,0.4,-0.2,-0.036,-2.8,-2.3,-5.1,-0.2,Illinois ,Black,2009,2016,G,6-3,190,"October 4, 1988",University of Memphis,2013-2014,16,"Derrick Rose, PG",Chicago Bulls,17632688
terrence ross,2013-14,22.0,TOR,NBA,81,62.0,2159.0,12.0,0.543,0.13,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,107.0,107.0,2.0,2.2,4.2,0.094,0.6,-0.7,-0.1,1.0,Oregon,Black,2013,2016,F-G,6-7,195,"February 5, 1991",University of Washington,2013-2014,200,"Terrence Ross, SF",Toronto Raptors,2678640
ricky rubio,2013-14,23.0,MIN,NBA,82,82.0,2638.0,15.4,0.199,0.422,2.5,11.9,7.1,37.8,3.6,0.3,21.8,16.4,106.0,104.0,2.2,3.6,5.9,0.107,0.0,1.5,1.5,2.3,Spain,White,2012,2016,G,6-4,194,"October 21, 1990",,2013-2014,156,"Ricky Rubio, PG",Minnesota Timberwolves,3678358
brandon rush,2013-14,28.0,UTA,NBA,38,0.0,418.0,4.1,0.522,0.056,1.3,11.1,6.1,8.5,0.6,1.7,17.8,12.3,83.0,114.0,-0.5,0.0,-0.4,-0.05,-5.0,-1.3,-6.3,-0.4,Missouri,Black,2009,2016,G-F,6-6,210,"July 7, 1985",University of Kansas,2013-2014,145,"Brandon Rush, SF",Utah Jazz,4000000
john salmons,2013-14,34.0,TOT,NBA,78,8.0,1726.0,7.8,0.395,0.126,1.3,9.6,5.5,12.8,1.4,0.9,11.0,12.8,100.0,108.0,0.2,1.4,1.7,0.046,-2.2,0.1,-2.1,0.0,Pennsylvania ,Black,2003,2015,G,6-7,210,"December 12, 1979",University of Miami,2013-2014,79,"John Salmons, SF",Toronto Raptors,7583000
larry sanders,2013-14,25.0,MIL,NBA,23,20.0,584.0,14.0,0.006,0.34,11.4,21.3,16.2,5.3,1.6,5.6,12.3,16.4,100.0,107.0,0.1,0.6,0.7,0.057,-3.3,1.6,-1.8,0.0,Florida ,Black,2011,2015,F,6-11,235,"November 21, 1988",Virginia Commonwealth University,2013-2014,187,"Larry Sanders, C",Milwaukee Bucks,3053368
dennis schroder,2013-14,20.0,ATL,NBA,49,0.0,641.0,5.8,0.223,0.229,0.9,9.9,5.4,22.0,1.3,0.0,22.8,19.0,83.0,110.0,-1.1,0.4,-0.7,-0.054,-6.2,-2.1,-8.3,-1.0,Germany,Black,2014,2016,G,6-1,172,"September 15, 1993",,2013-2014,274,"Dennis Schroder, PG",Atlanta Hawks,1348200
luis scola,2013-14,33.0,IND,NBA,82,2.0,1399.0,13.4,0.013,0.243,7.2,23.4,15.7,10.4,1.0,0.9,14.8,23.8,96.0,99.0,-0.4,2.8,2.5,0.084,-4.3,0.5,-3.8,-0.6,Argentina,White,2008,2016,F,6-9,240,"April 30, 1980",,2013-2014,129,"Luis Scola, PF",Indiana Pacers,4508504
mike scott,2013-14,25.0,ATL,NBA,80,6.0,1482.0,15.3,0.318,0.21,4.9,17.2,11.1,8.9,1.0,0.4,10.3,23.5,105.0,108.0,1.3,1.2,2.6,0.084,-0.7,-2.3,-3.0,-0.4,Virginia ,Black,2013,2016,F,6-8,237,"July 16, 1988",University of Virginia,2013-2014,329,"Mike Scott, PF",Atlanta Hawks,788872
thabo sefolosha,2013-14,29.0,OKC,NBA,61,61.0,1584.0,10.4,0.447,0.203,3.7,11.5,7.8,8.3,2.5,0.9,12.9,11.9,106.0,104.0,0.9,2.1,3.0,0.092,-0.7,1.5,0.8,1.1,Switzerland,Black,2007,2016,G-F,6-7,220,"May 2, 1984",,2013-2014,148,"Thabo Sefolosha, SF",Oklahoma City Thunder,3900000
kevin seraphin,2013-14,24.0,WAS,NBA,53,1.0,578.0,12.5,0.0,0.141,10.5,15.3,12.8,4.9,0.3,3.7,14.9,21.5,100.0,106.0,0.2,0.6,0.8,0.066,-4.1,-1.2,-5.2,-0.5,France,Black,2011,2016,F,6-10,278,"December 7, 1989",,2013-2014,197,"Kevin Seraphin, C",Washington Wizards,2761114
ramon sessions,2013-14,27.0,TOT,NBA,83,19.0,2214.0,16.0,0.161,0.525,1.9,8.6,5.2,25.7,1.2,0.3,13.5,22.7,108.0,111.0,3.1,1.2,4.3,0.094,0.1,-2.3,-2.2,-0.1,South Carolina,Black,2008,2016,G,6-3,190,"April 11, 1986","University of Nevada, Reno",2013-2014,119,"Ramon Sessions, PG",Charlotte Bobcats,5000000
iman shumpert,2013-14,23.0,NYK,NBA,74,58.0,1962.0,9.6,0.471,0.147,4.7,14.0,9.2,9.8,2.5,0.6,13.3,14.1,100.0,108.0,0.4,1.6,2.0,0.048,-0.8,0.7,-0.1,0.9,Illinois ,Black,2012,2016,G,6-5,220,"June 26, 1990",Georgia Institute of Technology,2013-2014,244,"Iman Shumpert, SG",New York Knicks,1703760
alexey shved,2013-14,25.0,MIN,NBA,63,0.0,664.0,10.2,0.43,0.38,3.4,10.1,6.6,14.9,1.9,1.8,14.8,20.8,93.0,107.0,-0.4,0.7,0.2,0.017,-2.7,-0.4,-3.1,-0.2,Russia,White,2013,2015,G,6-6,190,"December 16, 1988",,2013-2014,183,"Alexey Shved, PG",Minnesota Timberwolves,3150000
henry sims,2013-14,23.0,TOT,NBA,46,25.0,875.0,16.1,0.004,0.442,12.5,17.2,14.8,9.5,1.6,1.9,11.1,18.0,113.0,109.0,1.4,0.7,2.1,0.115,-1.0,-0.3,-1.3,0.2,Maryland,Black,2013,2015,C,6-10,248,"March 27, 1990",Georgetown University,2013-2014,324,"Henry Sims, C",Philadelphia 76ers,788872
kyle singler,2013-14,25.0,DET,NBA,82,36.0,2337.0,11.8,0.409,0.306,5.2,9.2,7.1,4.7,1.3,1.3,10.4,14.0,117.0,113.0,3.6,0.7,4.4,0.09,0.7,-0.8,-0.1,1.1,Oregon,White,2013,2016,F,6-8,228,"May 4, 1988",Duke University,2013-2014,301,"Kyle Singler, SF",Detroit Pistons,1045000
chris singleton,2013-14,24.0,WAS,NBA,25,0.0,250.0,8.8,0.284,0.373,8.2,17.5,12.8,3.5,1.9,1.0,17.9,17.2,92.0,104.0,-0.2,0.3,0.2,0.033,-4.8,-0.9,-5.6,-0.2,Georgia,Black,2012,2014,F,6-8,230,"November 21, 1989",Florida State University,2013-2014,248,"Chris Singleton, SF",Washington Wizards,1618680
greg smith,2013-14,23.0,HOU,NBA,11,0.0,100.0,13.7,0.0,0.179,13.0,16.8,15.0,0.0,0.5,1.5,14.2,15.4,116.0,108.0,0.2,0.1,0.2,0.119,-2.8,-4.7,-7.5,-0.1,California,Black,2012,2016,C,6-10,250,"January 8, 1991","California State University, Fresno",2013-2014,385,"Greg Smith, PF",Houston Rockets,15605
ish smith,2013-14,25.0,PHO,NBA,70,1.0,1006.0,11.7,0.082,0.139,3.5,10.9,7.2,26.0,2.4,1.0,17.9,15.9,98.0,107.0,0.0,1.0,1.0,0.048,-2.7,0.5,-2.3,-0.1,North Carolina,Black,2011,2016,G,6-0,175,"July 5, 1988",Wake Forest University,2013-2014,305,"Ish Smith, PG",Phoenix Suns,951463
jr smith,2013-14,28.0,NYK,NBA,74,37.0,2421.0,14.0,0.503,0.145,1.7,13.1,7.2,15.1,1.4,0.7,9.6,21.6,106.0,111.0,2.5,1.2,3.7,0.073,1.8,-1.6,0.1,1.3,New Jersey,Black,2005,2016,G-F,6-6,225,"September 9, 1985",,2013-2014,108,"J.R. Smith, SG",New York Knicks,5565000
jason smith,2013-14,27.0,NOP,NBA,31,27.0,830.0,12.4,0.0,0.177,7.0,18.5,12.7,5.6,0.7,2.9,8.4,18.2,104.0,111.0,0.5,0.4,0.9,0.054,-2.6,-0.9,-3.5,-0.3,Colorado,White,2008,2016,F-C,7-0,245,"March 2, 1986",Colorado State University,2013-2014,209,"Jason Smith, PF",New Orleans Pelicans,2500000
josh smith,2013-14,28.0,DET,NBA,77,76.0,2730.0,14.1,0.215,0.244,3.9,17.6,10.4,15.0,1.9,3.2,12.7,24.5,95.0,108.0,-1.4,2.5,1.1,0.02,-1.7,1.1,-0.6,0.9,Georgia,Black,2005,2016,F,6-9,225,"December 5, 1985",,2013-2014,33,"Josh Smith, C",Detroit Pistons,13500000
tony snell,2013-14,22.0,CHI,NBA,77,12.0,1231.0,8.0,0.53,0.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,97.0,104.0,-0.1,1.7,1.6,0.063,-2.9,-0.2,-3.0,-0.3,California,Black,2014,2016,G-F,6-7,200,"November 10, 1991",University of New Mexico,2013-2014,265,"Tony Snell, SF",Chicago Bulls,1409040
james southerland,2013-14,23.0,TOT,NBA,4,0.0,30.0,11.8,0.4,0.133,0.0,31.5,15.5,0.0,1.7,5.6,5.9,25.6,83.0,102.0,-0.1,0.0,0.0,-0.023,-8.1,-5.2,-13.3,-0.1,New York,Black,2014,2014,F,6-8,215,"April 28, 1990",Syracuse University,2013-2014,352,"James Southerland, SF",Charlotte Bobcats,490180
marreese speights,2013-14,26.0,GSW,NBA,79,3.0,982.0,15.2,0.07,0.303,11.4,20.6,16.1,5.3,0.5,2.6,11.6,25.4,102.0,103.0,0.6,1.5,2.1,0.103,-3.9,-1.3,-5.2,-0.8,Florida,Black,2009,2016,C-F,6-10,255,"August 4, 1987",University of Florida,2013-2014,162,"Marreese Speights, C",Golden State Warriors,3500000
tiago splitter,2013-14,29.0,SAS,NBA,59,50.0,1271.0,16.5,0.009,0.5,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,114.0,102.0,2.3,2.1,4.3,0.163,-0.1,2.1,1.9,1.3,Brazil,White,2011,2016,F-C,6-11,245,"January 1, 1985",,2013-2014,54,"Tiago Splitter, C",San Antonio Spurs,10000000
lance stephenson,2013-14,23.0,IND,NBA,78,78.0,2752.0,14.7,0.28,0.226,4.1,18.1,11.4,22.1,1.0,0.2,18.0,19.4,106.0,101.0,2.6,4.8,7.4,0.13,0.7,1.7,2.3,3.0,New York,Black,2011,2016,G-F,6-5,230,"September 5, 1990",University of Cincinnati,2013-2014,303,"Lance Stephenson, SF",Indiana Pacers,1005000
julyan stone,2013-14,25.0,TOR,NBA,21,0.0,120.0,6.6,0.471,0.176,1.9,17.6,9.7,14.5,1.3,0.0,21.4,8.8,101.0,106.0,0.0,0.1,0.2,0.061,-3.5,0.5,-3.0,0.0,Virginia,Black,2012,2014,G,6-6,200,"December 7, 1988",University of Texas at El Paso,2013-2014,316,"Julyan Stone, PG",Toronto Raptors,884293
amar'e stoudemire,2013-14,31.0,NYK,NBA,65,21.0,1466.0,18.8,0.0,0.364,8.7,17.2,12.8,4.2,0.8,2.2,12.3,23.4,112.0,110.0,2.9,0.9,3.8,0.124,-0.8,-2.3,-3.1,-0.4,Florida,Black,2003,2016,F-C,6-10,245,"November 16, 1982",,2013-2014,3,"Amar'e Stoudemire, PF",New York Knicks,21679893
rodney stuckey,2013-14,27.0,DET,NBA,73,5.0,1950.0,14.0,0.103,0.342,2.1,7.7,4.7,12.7,1.4,0.4,11.3,24.3,105.0,113.0,1.8,0.4,2.2,0.053,-1.2,-2.9,-4.1,-1.0,Washington,Black,2008,2016,G,6-5,205,"April 21, 1986",Eastern Washington University,2013-2014,67,"Rodney Stuckey, PG",Detroit Pistons,8500000
jared sullinger,2013-14,21.0,BOS,NBA,74,44.0,2041.0,16.4,0.231,0.226,13.0,20.6,16.7,10.1,0.9,1.8,10.7,24.1,105.0,107.0,1.9,2.0,3.9,0.091,0.3,-0.6,-0.3,0.9,Ohio,Others,2013,2016,F,6-9,260,"March 4, 1992",Ohio State University,2013-2014,272,"Jared Sullinger, C",Boston Celtics,1365720
jeffery taylor,2013-14,24.0,CHA,NBA,26,8.0,629.0,5.9,0.307,0.216,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,86.0,107.0,-0.8,0.6,-0.2,-0.019,-4.2,-1.2,-5.4,-0.5,Sweden,Black and White,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt University,2013-2014,323,"Jeff Taylor, SF",Charlotte Bobcats,788872
jeff teague,2013-14,25.0,ATL,NBA,79,79.0,2542.0,17.1,0.216,0.362,1.6,7.9,4.7,35.1,1.8,0.5,16.1,25.7,106.0,109.0,3.3,1.9,5.2,0.098,0.9,-2.0,-1.1,0.6,Indiana,Black,2010,2016,G,6-2,186,"June 10, 1988",Wake Forest University,2013-2014,74,"Jeff Teague, PG",Atlanta Hawks,8000000
marquis teague,2013-14,20.0,TOT,NBA,40,3.0,443.0,3.8,0.151,0.294,0.3,10.2,5.3,20.6,1.2,0.9,22.5,18.2,78.0,107.0,-1.0,0.4,-0.5,-0.059,-7.6,-1.2,-8.8,-0.8,Indiana,Black,2013,2014,G,6-2,189,"February 28, 1993",University of Kentucky,2013-2014,297,"Marquis Teague, PG",Brooklyn Nets,1074720
mirza teletovic,2013-14,28.0,BRK,NBA,72,7.0,1396.0,14.3,0.66,0.117,5.2,17.6,11.4,7.1,1.1,1.4,8.8,20.5,108.0,109.0,1.6,1.1,2.7,0.094,1.5,-2.0,-0.5,0.5,Bosnia and Herzegovina,White,2013,2016,F,6-9,242,"September 18, 1985",,2013-2014,173,"Mirza Teletovic, PF",Brooklyn Nets,3229050
jason terry,2013-14,36.0,BRK,NBA,35,0.0,570.0,7.4,0.678,0.099,0.8,6.9,3.9,15.3,1.2,0.0,14.5,15.3,98.0,112.0,0.0,0.2,0.2,0.016,-1.4,-2.8,-4.2,-0.3,Washington,Black,2000,2016,G,6-2,185,"September 15, 1977",University of Arizona,2013-2014,106,"Jason Terry, SG",Brooklyn Nets,5625313
hasheem thabeet,2013-14,26.0,OKC,NBA,23,0.0,192.0,2.6,0.0,0.217,5.6,17.4,11.7,0.7,1.0,3.8,35.7,9.0,76.0,103.0,-0.2,0.3,0.0,0.012,-6.8,1.0,-5.8,-0.2,United Republic of Tanzania,Black,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut,2013-2014,282,"Hasheem Thabeet, C",Oklahoma City Thunder,1200000
isaiah thomas,2013-14,24.0,SAC,NBA,72,54.0,2497.0,20.5,0.332,0.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,114.0,111.0,6.4,1.3,7.7,0.149,5.0,-2.1,2.9,3.1,Washington,Black,2012,2016,G,5-9,185,"February 7, 1989",University of Washington,2013-2014,319,"Isaiah Thomas, PG",Sacramento Kings,884293
malcolm thomas,2013-14,25.0,TOT,NBA,8,0.0,63.0,4.6,0.25,0.125,9.0,28.9,19.0,5.1,0.0,3.5,34.8,18.7,67.0,107.0,-0.2,0.1,-0.2,-0.132,-10.4,-1.6,-12.0,-0.2,Missouri,Black and White,2012,2015,F,6-9,225,"November 8, 1988",San Diego State University,2013-2014,332,"Malcolm Thomas, PF",Utah Jazz,702233
hollis thompson,2013-14,22.0,PHI,NBA,77,41.0,1742.0,9.5,0.449,0.196,4.4,11.2,7.7,6.1,1.5,0.5,12.9,11.3,110.0,112.0,1.4,0.6,2.0,0.055,-1.8,-1.2,-3.0,-0.4,California,Black,2014,2016,G-F,6-8,206,"April 3, 1991",Georgetown University,2013-2014,357,"Hollis Thompson, SG",Philadelphia 76ers,473604
jason thompson,2013-14,27.0,SAC,NBA,82,61.0,2007.0,11.1,0.0,0.292,8.5,21.3,14.8,4.1,0.8,2.3,14.5,14.4,103.0,108.0,0.9,1.7,2.7,0.064,-3.0,0.5,-2.5,-0.3,New Jersey,Black,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,2013-2014,105,"Jason Thompson, PF",Sacramento Kings,5643750
klay thompson,2013-14,23.0,GSW,NBA,81,81.0,2868.0,14.3,0.425,0.147,1.5,7.9,4.7,10.2,1.3,1.0,9.2,22.6,108.0,106.0,3.5,3.2,6.7,0.112,1.3,-0.6,0.7,1.9,California,Black and White,2012,2016,G,6-7,205,"February 8, 1990",Washington State University,2013-2014,215,"Klay Thompson, SG",Golden State Warriors,2317920
tristan thompson,2013-14,22.0,CLE,NBA,82,82.0,2594.0,14.9,0.001,0.445,11.4,21.5,16.3,4.5,0.8,1.1,10.6,17.5,110.0,108.0,3.4,2.3,5.7,0.106,-1.5,-0.5,-2.0,0.0,Canada,Black,2012,2016,F-C,6-9,238,"March 13, 1991",University of Texas at Austin,2013-2014,141,"Tristan Thompson, C",Cleveland Cavaliers,4062000
marcus thornton,2013-14,26.0,TOT,NBA,72,27.0,1741.0,12.0,0.495,0.175,3.7,9.4,6.6,7.3,1.7,0.5,8.9,19.7,103.0,110.0,1.0,1.0,2.0,0.055,0.1,-1.7,-1.6,0.2,Louisiana,Black,2010,2016,G,6-4,205,"June 5, 1987",Louisiana State University,2013-2014,71,"Marcus Thornton, SF",Sacramento Kings,8050000
ronny turiaf,2013-14,31.0,MIN,NBA,31,10.0,606.0,13.9,0.0,0.467,9.6,22.0,15.6,5.7,0.7,6.3,15.7,10.7,113.0,103.0,0.6,0.9,1.5,0.122,-2.3,4.0,1.7,0.6,France,Black,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University,2013-2014,256,"Ronny Turiaf, C",Minnesota Timberwolves,1500000
hedo turkoglu,2013-14,34.0,LAC,NBA,38,0.0,392.0,11.3,0.459,0.165,3.2,21.4,12.6,11.9,2.4,2.0,12.0,15.0,101.0,101.0,0.1,0.7,0.8,0.095,-1.9,2.1,0.2,0.2,Turkey,White,2001,2015,F,6-10,220,"March 19, 1979",,2013-2014,358,"Hedo Turkoglu, SF",Los Angeles Clippers,473357
evan turner,2013-14,25.0,TOT,NBA,81,56.0,2457.0,12.4,0.153,0.257,2.7,15.7,9.0,17.8,1.3,0.2,14.3,23.2,97.0,109.0,-0.5,1.8,1.4,0.027,-2.4,-1.3,-3.7,-1.0,Illinois,Black,2011,2016,G,6-7,220,"October 27, 1988",Ohio State University,2013-2014,90,"Evan Turner, SG",Philadelphia 76ers,6679867
jeremy tyler,2013-14,22.0,NYK,NBA,41,0.0,398.0,13.0,0.0,0.414,10.9,21.6,16.1,3.3,0.8,4.5,15.9,19.1,101.0,107.0,0.1,0.4,0.5,0.064,-4.3,-0.8,-5.1,-0.3,California,Black,2012,2014,C,6-10,260,"June 21, 1991",,2013-2014,340,"Jeremy Tyler, C",New York Knicks,556584
ekpe udoh,2013-14,26.0,MIL,NBA,42,14.0,804.0,7.6,0.0,0.329,8.4,12.8,10.5,5.7,1.0,4.4,18.8,11.4,92.0,111.0,-0.4,0.4,0.0,0.0,-4.7,1.2,-3.5,-0.3,Oklahoma,Black,2011,2015,F,6-10,240,"May 20, 1987",Baylor University,2013-2014,133,"Ekpe Udoh, PF",Milwaukee Bucks,4469548
jonas valanciunas,2013-14,21.0,TOR,NBA,81,81.0,2282.0,16.1,0.001,0.385,11.5,25.1,18.2,4.2,0.5,2.5,14.7,18.5,112.0,104.0,3.5,3.2,6.7,0.141,-1.6,0.2,-1.4,0.3,Lithuania,White,2013,2016,C,7-0,255,"May 6, 1992",,2013-2014,158,"Jonas Valanciunas, C",Toronto Raptors,3526440
anderson varejao,2013-14,31.0,CLE,NBA,65,29.0,1800.0,17.0,0.015,0.294,11.4,28.2,19.6,12.2,2.0,1.8,12.2,14.6,114.0,103.0,2.7,2.7,5.4,0.144,-0.4,3.0,2.7,2.1,Brazil,White,2005,2016,F-C,6-10,273,"September 28, 1982",,2013-2014,61,"Anderson Varejao, PF",Cleveland Cavaliers,9036364
jarvis varnado,2013-14,25.0,TOT,NBA,24,0.0,339.0,13.3,0.0,0.867,5.8,14.6,10.0,5.7,1.4,6.8,10.8,11.6,118.0,107.0,0.5,0.3,0.8,0.114,-3.3,2.3,-1.0,0.1,Virginia,Black,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University,2013-2014,369,"Jarvis Varnado, PF",Philadelphia 76ers,171696
greivis vasquez,2013-14,27.0,TOT,NBA,79,23.0,1779.0,14.1,0.439,0.164,1.3,10.0,5.6,30.4,0.9,0.2,15.4,21.1,108.0,110.0,2.4,1.2,3.6,0.097,1.2,-2.6,-1.4,0.3,Venezuela,Black,2011,2016,G,6-6,217,"January 16, 1987",University of Maryland,2013-2014,224,"Greivis Vasquez, PG",Toronto Raptors,2150188
jan vesely,2013-14,23.0,TOT,NBA,54,1.0,776.0,12.7,0.0,0.324,11.7,16.1,13.9,4.0,3.4,3.5,15.4,13.2,101.0,100.0,0.2,1.4,1.6,0.097,-2.7,3.2,0.5,0.5,Czech Republic,White,2012,2014,F,6-11,240,"April 24, 1990",,2013-2014,165,"Jan Vesely, PF",Washington Wizards,3340920
charlie villanueva,2013-14,29.0,DET,NBA,20,0.0,180.0,12.7,0.609,0.152,3.5,17.9,10.3,5.5,1.1,2.2,6.7,25.0,99.0,110.0,0.0,0.1,0.1,0.034,-1.2,-4.0,-5.2,-0.1,New York,Black,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut,2013-2014,66,"Charlie Villanueva, PF",Detroit Pistons,8580000
nikola vucevic,2013-14,23.0,ORL,NBA,57,57.0,1812.0,18.8,0.0,0.197,11.5,27.6,19.5,10.2,1.7,2.0,12.9,21.8,106.0,103.0,1.8,2.6,4.4,0.116,-1.0,1.5,0.5,1.2,Switzerland,White,2012,2016,C,7-0,260,"October 24, 1990",University of Southern California,2013-2014,240,"Nikola Vucevic, C",Orlando Magic,1793520
dwyane wade,2013-14,32.0,MIA,NBA,54,53.0,1775.0,22.0,0.042,0.339,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,110.0,106.0,3.5,2.0,5.5,0.149,1.9,0.3,2.3,1.9,Illinois,Black,2004,2016,G,6-4,220,"January 17, 1982",Marquette University,2013-2014,10,"Dwyane Wade, SG",Miami Heat,18673000
